service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,max_length,max_width,max_height,currency,weight_unit,dimension_unit,transit_days,domicile,international
first_class,Royal Mail 1st Class (01),BPL1,01,b2c:b2b,Domestic,GB,,,,,,GBP,G,CM,1,true,false
second_class,Royal Mail 2nd Class (01),BPL2,01,b2c:b2b,Domestic,GB,,,,,,GBP,G,CM,2,true,false
first_class_signed,Royal Mail 1st Class Signed For (01),BPR1,01,b2c:b2b,Domestic,GB,,,,,,GBP,G,CM,1,true,false
second_class_signed,Royal Mail 2nd Class Signed For (01),BPR2,01,b2c:b2b,Domestic,GB,,,,,,GBP,G,CM,2,true,false
international_tracked_heavy_weight_premium,International Tracked Heavy Weight Premium (01 / Y5013288),BYD,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_tracked_heavy_weight_premium_extra_compensation,International Tracked Heavy Weight Premium Extra Compensation (01 / Y5013288),BYH,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
royal_mail_24,Royal Mail 24 (01 / 214655C1),CRL24,01,b2c:b2b,,GB,0.001,2000,,,,GBP,G,CM,1,true,false
royal_mail_48,Royal Mail 48 (01 / 214655C1),CRL48,01,b2c:b2b,Domestic,GB,0.001,2000,,,,GBP,G,CM,2,true,false
de4,International Business Parcel Zero Sort Low Volume Priority (01 / X1006082),DE4,01,b2c:b2b,Domestic,,0.001,30000,,,,GBP,G,CM,,false,true
de6,International Business Parcel Untracked DDP (01 / X1006082),DE6,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
dg4,International Business Mail Large Letter Country Sort Low Volume Priority (01 / X1006082),DG4,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
dp3,International Business Mail Untracked Country Priced (01 / X1006082),DP3,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
ec1,globalpriority Europe Comp 1 (01 / Y5013288),EC1,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
ec2,globalpriority Europe Comp 2 (01 / Y5013288),EC2,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
ec3,globalpriority Europe Comp 3 (01 / Y5013288),EC3,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
globalpriority_europe,globalpriority Europe (01 / Y5013288),ECA,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
er1,europriority DTP IOSS Comp 1 (01 / Y5013288),ER1,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
er2,europriority DTP IOSS Comp 2 (01 / Y5013288),ER2,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
er3,europriority DTP IOSS Comp 3 (01 / Y5013288),ER3,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
europriority_dtp_ioss,europriority DTP IOSS (01 / Y5013288),ERA,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
express_48,express48 (01 / 915178F0),FE0,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
fe1,express48 Comp 1 (01 / 915178F1),FE1,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
fe2,express48 Comp 2 (01 / 915178F2),FE2,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
fe3,express48 Comp 3 (01 / 915178F3),FE3,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
express_am,expressAM (01 / 915178FE),FEE,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
fef,expressAM Comp 1 (01 / 915178FF),FEF,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
feg,expressAM Comp 2 (01 / 915178FG),FEG,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
fel,expressAM Comp 3 (01 / 915178FL),FEL,01,tracked:b2c:b2b:express,Domestic,GB,0.001,30000,,,,GBP,G,CM,1,true,false
express_48_large,express48 Large (01 / 915178FM),FEM,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
fen,express48 Large Comp 1 (01 / 915178FN),FEN,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
feo,express48 Large Comp 2 (01 / 915178FO),FEO,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
fep,express48 Large Comp 3 (01 / 915178FP),FEP,01,tracked:b2c:b2b,Domestic,GB,0.001,30000,,,,GBP,G,CM,2,true,false
gp1,globalpriority ROW Comp 1 (01 / Y5013288),GP1,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
gp2,globalpriority ROW Comp 2 (01 / Y5013288),GP2,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
gp3,globalpriority ROW Comp 3 (01 / Y5013288),GP3,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
globalpriority_row,globalpriority ROW (01 / Y5013288),GPA,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
ie1,International Business Parcel Zone Sort Priority (01 / X1006082),IE1,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
ig1,International Business Mail Large Letter Zone Sort Priority (01 / X1006082),IG1,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
ig4,International Business Mail Large Letter Zone Sort Priority Machineable (01 / X1006082),IG4,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_tracked_and_signed_ppi,International Tracked and Signed PPI (01 / X1006082),LLG,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_tracked_ppi,International Tracked PPI (01 / X1006082),LLH,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_signed_for_ppi,International Signed For PPI (01 / X1006082),LLI,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_tracked,International Business Parcel Tracked (01 / X1006082),MP1,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_tracked_extra_compensation,International Business Parcel Tracked Extra Compensation (01 / X1006082),MP4,01,tracked:b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
international_business_parcel_signed,International Business Parcel Signed (01 / X1006082),MP5,01,b2c:b2b,International,,0.001,30000,,,,GBP,G,CM,,false,true
